"Source:","E:\Github\x399 Burn In\x399_Burn_In\PCBs\x399 Burn In v0_0_6LC\x399 Burn In v0_0_6LC.kicad_sch"
"Date:","4/7/2025 8:28:51 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","E:\KICad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","57"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Breaking Capacity (A AC)","Breaking Capacity (A DC)","Color","Comment","Current (A)","Current Rating (A)","DCR","DCR (max)","Diameter","Distributor","Distributor PN","Drive Type","Energy (J)","For","Gain","Has Hole","Head Type","Height","I (max)","ID","Ic","If (mA)","Imax","Imax (DC)","Iout","Iout Max","MFG","MFG PN","Matching Ratio","Material","Mating Connector PN","Max ACV","Max DCV","Max Voltage","Melting I2T","Min ESR(mΩ)","Mounting Type","Name","Number of elements","OD","Pmax","Power","Power / element (mW)","Ratio Drift (PPM/°C)","Response Time","Schematic Only","Sim.Device","Sim.Pins","Sim.Type","Size","Surge Current (A)","Symbol","TCR (PPM/°C)","Technology","Temp Co","Thread Size","Tolerance","Tolerance (%)","Type","Varistor Voltage (max)","Varistor Voltage (min)","Vce","Vdropout@I","Vf","Vf@If (max)","Vin (max)","Vin (min)","VinMax","Vmax (DC)","Voltage","Voltage (v)","Vout","Vr (max)","Wattage (W)","Wavelength","Z@Freq"
"11","1","FB1","600Ω@100MHz 0.1ΩDCR","Danakil_database:Inductors - Ferrite Bead/600Ω@100MHz 2A 0.1ΩDCR","Inductors_SMD:L_0805_2012Metric","https://fair-rite.com/product/chip-beads-2508056017y2/","","","","","","","","","0.1Ω","","Digikey","1934-1487-1-ND","","","","","","","","","","","","2A","","","","Fair-Rite Products Corp.","2508056017Y2","","","","","","","","","","600Ω@100MHz 2A 0.1ΩDCR","","","","","","","","","","","","","","0Dan_Passives:FB","","","","","","","","","","","","","","","","","","","","","","","","600Ω@100MHz"
"12","1","J1","2.5mmID 5.5mmOD","Danakil_database:Connectors - Barrel Jack/2.5mmID 5.5mmOD  ","Connectors:CUI_PJ-002B","https://www.sameskydevices.com/product/resource/pj-002b.pdf","","","","","","","","","","","Digikey","CP-002B-ND","","","","","","","","","2.5mm","","","","","","","Same Sky (Formerly CUI Devices)","PJ-002B","","","","","","","","","","2.5mmID 5.5mmOD  ","","5.5mm","","","","","","","","","","","","0Dan_Connectors:Barrel_Jack_Switch","","","","","","","","","","","","","","","","","","","","","","","",""
"13","1","L1","12u","Danakil_database:Inductors/12uH 2.2A 58mΩ 20% NonStd SMD  ","Inductors_SMD:ASPI-6045S-120M-T","https://abracon.com/Magnetics/power/ASPI-6045S.pdf","","","","","","","","58m","","","Digikey","535-ASPI-6045S-120M-TCT-ND","","","","","","","","","","","","","","","","Abracon LLC","ASPI-6045S-120M-T","","","","","","","","","SMD","12uH 2.2A 58mΩ 20% NonStd SMD  ","","","","","","","","","","","","NonStd","","0Dan_Passives:L","","","","","20","","","","","","","","","","","","","","","","","","",""
"14","1","M1","M3x0.5 0.3mm_tall","Danakil_database:Mechanical - Standoffs - SMD/M3x0.5 0.3mm_tall Elect_Conn","Mechanical_Standoffs_SMD:24939_ElecConn","https://www.keyelco.com/product-pdf.cfm?p=14826","","","","","Elect_Conn","","","","","","Digikey","36-24939CT-ND","","","","","","","0.3mm","","","","","","","","","Keystone Electronics","24939","","","","","","","","","","M3x0.5 0.3mm_tall Elect_Conn","","","","","","","","","","","","","","0Dan_Mech_Standoffs:SMD_ElecConn","","","","M3x0.5","","","","","","","","","","","","","","","","","","","",""
"15","4","M2, M3, M4, M5","9.5mm Black","Danakil_database:Mechanical - Feet/9.5mm_dia 5.4mm_height Black  ","Feet:BS22BL05X06RP","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/699/Bumper_Brochure.pdf","","","","Black","","","","","","9.5mm","Digikey","2042-1050-ND","","","","","","","5.4mm","","","","","","","","","Bumper Specialties Inc.","BS22BL05X06RP","","","","","","","","","","9.5mm_dia 5.4mm_height Black  ","","","","","","","","","","","","","","0Dan_Mech_Feet:Foot","","","","","","","","","","","","","","","","","","","","","","","",""
"16","1","Q1","2222A","Danakil_database:Discreet - Transistors - BJT - NPN/2222A 40V-Vce 0.6A-Ic 0.35W 100-Bmin SMD  ","Discreet_SMD:SOT-23-3","https://www.mccsemi.com/pdf/Products/MMBT2222A(SOT-23).pdf","","","","","","","","","","","Digikey","MMBT2222ATPMSCT-ND","","","","100","","","","","","0.6A","","","","","","MCC (Micro Commercial Components)","MMBT2222A-TP","","","","","","","","","SMD","2222A 40V-Vce 0.6A-Ic 0.35W 100-Bmin SMD  ","","","0.35W","","","","","","NPN","1=C 2=B 3=E","GUMMELPOON","","","0Dan_Discreet:NPN","","","","","","","","","","40V","","","","","","","","","","","","","",""
"17","1","R1","1k","Danakil_database:Resistors - Single - SMD/1kΩ 1% 1206 0.25w Thick Film 200ppm/°C Automotive","Resistors_SMD:R_1206_3216Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","","","","Automotive","","","","","","Digikey","RMCF1206FT1K00CT-ND","","","","","","","","","","","","","","","","Stackpole Electronics Inc","RMCF1206FT1K00","","","","","","","","","","1kΩ 1% 1206 0.25w Thick Film 200ppm/°C Automotive","","","","0.25","","","","","","","","1206","","0Dan_Passives:R_US","","Thick Film","200","","1","","","","","","","","","","","","","200v","","","","","",""
"18","1","R2","47k","Danakil_database:Resistors - Single - SMD/47kΩ 1% 1206 0.25w Thick Film 100ppm/°C Automotive","Resistors_SMD:R_1206_3216Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","","","","Automotive","","","","","","Digikey","RMCF1206FT47K0CT-ND","","","","","","","","","","","","","","","","Stackpole Electronics Inc","RMCF1206FT47K0","","","","","","","","","","47kΩ 1% 1206 0.25w Thick Film 100ppm/°C Automotive","","","","0.25","","","","","","","","1206","","0Dan_Passives:R_US","","Thick Film","100","","1","","","","","","","","","","","","","200v","","","","","",""
"19","5","R3, R4, R5, R6, R7","100","Danakil_database:Resistors - Single - SMD/100Ω 1% 1206 0.25w Thick Film 100ppm/°C Automotive","Resistors_SMD:R_1206_3216Metric","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","","","","Automotive","","","","","","Digikey","RMCF1206FT100RCT-ND","","","","","","","","","","","","","","","","Stackpole Electronics Inc","RMCF1206FT100R","","","","","","","","","","100Ω 1% 1206 0.25w Thick Film 100ppm/°C Automotive","","","","0.25","","","","","","","","1206","","0Dan_Passives:R_US","","Thick Film","100","","1","","","","","","","","","","","","","200v","","","","","",""
"20","4","RN1, RN2, RN3, RN4","1k","Danakil_database:Resistors - Isolated Array/1kΩ 1% 4-Element 1206 62.5mW 50V Thick Film 200PPM/°C  ","Resistors_SMD_Networks:BO_CAY16","https://www.bourns.com/docs/Product-Datasheets/CATCAY.pdf","","","","","","","","","","","Digikey","CAY16-1001F4LFCT-ND","","","","","","","","","","","","","","","","Bourns Inc.","CAY16-1001F4LF","","","","","","50","","","","1kΩ 1% 4-Element 1206 62.5mW 50V Thick Film 200PPM/°C  ","4","","","","62.5","","","","","","","1206","","0Dan_Passives:R_Network04_Iso","200","Thick Film","","","","1","","","","","","","","","","","","","","","","","",""
"21","1","RV1","14VAC/18VDC","Danakil_database:Protection - MOVs/14VAC/18VDC 120A  J SMD  ","Protection_MOV:MOV_0805","https://www.bourns.com/docs/Product-Datasheets/BVR0805.pdf","","","","","","","","","","","Digikey","118-BVR0805-14PFRCT-ND","","","","","","","","","","","","","","","","Bourns Inc.","BVR0805-14PFR","","","","14","18","","","","SMD","14VAC/18VDC 120A  J SMD  ","","","","","","","","","","","","","120","0Dan_Protection:MOV","","","","","","","","28","22","","","","","","","","","","","","","","",""
"22","1","Screw 1","M3x0.5x6 Binding Head Green","Danakil_database:Mechanical - Screws/M3x0.5x6 Combination Drive Binding Head Brass Green","Screws:9191","https://www.keyelco.com/product-pdf.cfm?p=1928","","","","","Green","","","","","","Digikey","36-9191-6-ND","Combination","","","","FALSE","Binding Head","","","","","","","","","","Keystone Electronics","9191-6","","Brass","","","","","","","","M3x0.5x6 Combination Drive Binding Head Brass Green","","","","","","","","FALSE","","","","M3x0.5x6","","0Dan_Mech_Screws:M3-6mm_Pan_Green","","","","","","","","","","","","","","","","","","","","","","","",""
"23","5","SW1, SW2, SW3, SW4, SW5","Push 30V 0.1A","Danakil_database:Switches - Push/DPDT Push 30V 0.1A","Switches_Push:SW_TL2230EEF100","https://configured-product-images.s3.amazonaws.com/Datasheets/TL2230.pdf","","","","","Latching","","","","","","Digikey","E-Switch","","","","","","","","","","","","","0.1A","","","E-Switch","TL2230EEF100","","","","","","","","","","DPDT Push 30V 0.1A","","","","","","","","","","","","","","0Dan_Switches:Push_DPDT_Latching","","","","","","","DPDT","","","","","","","","","","30V","","","","","","",""
"24","1","U1","LM324","Danakil_database:ICs - Analog - OP Amp/LM324","ICs:SOIC-14_3.9x8.7mm_P1.27mm","https://www.ti.com/lit/ds/symlink/lm224.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1741206371483","","","","","","","","","","","Digikey","296-9540-1-ND","","","","","","","","","","","","","","","","Texas Instruments","LM324ADR","","","","","","","","","","LM324","","","","","","","","","","","","","","0Dan_OpAmps:LM324","","","","","","","","","","","","","","","","","","","","","","","",""
"25","1","U2","78L15","Danakil_database:ICs - Power - Linear Regulation/78L15 Fixed 0.1A 1.7v@0.04A 35VinMax SMD  ","ICs:SOIC-8_3.9x4.9mm_P1.27mm","https://www.st.com/resource/en/datasheet/l78l.pdf","","","","","","","","","","","Digikey","497-7278-1-ND","","","","","","","","","","","","","","","0.1","STMicroelectronics","L78L15ACD13TR","","","","","","","","0","SMD","78L15 Fixed 0.1A 1.7v@0.04A 35VinMax SMD  ","","","","","","","","","","","","","","0Dan_Linear_Regulation:78xx_1","","","","","","","Fixed","","","","1.7v@0.04A","","","","","35","","","","15","","","",""
"26","4","U3, U4, U5, U6","x399 Vref Socket","Danakil_database:Connectors - IC socket/x399 Vref Socket","Connectors_ICskt:x399_Socket","https://drawings-pdf.s3.amazonaws.com/10497.pdf","","","","","","","","","","","Digikey","S5750-02-ND","","","x399 Vref","","","","","","","","","","","","","Sullins Connector Solutions","NPPN022AFCN-RC","","","","","","","","","","x399 Vref Socket","","","","","","","","","","","","","","0Dan_VRefs-BZener:LM399","","","","","","","","","","","","","","","","","","","","","","","",""
